2022-05-12 11:52:54.096[1652367174096] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:52:55.045[1652367175045] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:54:14.768[1652367254768] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 26983 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:54:14.770[1652367254770] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:54:15.880[1652367255880] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:54:16.181[1652367256181] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:54:16.195[1652367256195] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 1.743 seconds (JVM running for 2.767)
2022-05-12 11:54:16.197[1652367256197] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:54:16.197[1652367256197] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:54:16.198[1652367256198] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:54:16.198[1652367256198] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:54:16.198[1652367256198] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:54:16.198[1652367256198] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:54:22.106[1652367262106] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END INIT BINARIES*****************************
2022-05-12 11:54:22.106[1652367262106] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:54:23.032[1652367263032] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:54:23.383[1652367263383] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:54:23.720[1652367263720] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:54:24.382[1652367264382] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:55:16.192[1652367316192] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:55:16.193[1652367316193] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:55:16.193[1652367316193] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:55:16.194[1652367316194] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:55:16.194[1652367316194] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:55:16.194[1652367316194] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:55:16.194[1652367316194] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:55:37.435[1652367337435] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END INIT BINARIES*****************************
2022-05-12 11:55:38.391[1652367338391] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:55:38.716[1652367338716] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:55:39.338[1652367339338] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:56:24.841[1652367384841] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 27028 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:56:24.843[1652367384843] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:56:25.856[1652367385856] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:56:26.145[1652367386145] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:56:26.158[1652367386158] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 1.562 seconds (JVM running for 2.408)
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:56:26.159[1652367386159] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:56:26.160[1652367386160] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END INIT BINARIES*****************************
2022-05-12 11:56:26.161[1652367386161] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:56:27.556[1652367387556] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
