
2022-05-01 17:15:28.498[1651436128498] | INFO  | Thread-85  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PLAUSDT&interval=1m
2022-05-01 17:15:28.498[1651436128498] | INFO  | Thread-86  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BURGERUSDT&interval=1m
2022-05-01 17:15:28.498[1651436128498] | INFO  | Thread-87  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TRXUPUSDT&interval=1m
2022-05-01 17:15:28.498[1651436128498] | INFO  | Thread-88  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PEOPLEUSDT&interval=1m
2022-05-01 17:15:28.499[1651436128499] | INFO  | Thread-89  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=NKNUSDT&interval=1m
2022-05-01 17:15:28.499[1651436128499] | INFO  | Thread-90  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m
2022-05-01 17:15:28.499[1651436128499] | INFO  | Thread-91  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=OMGUSDT&interval=1m
2022-05-01 17:15:28.499[1651436128499] | INFO  | Thread-92  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ICXUSDT&interval=1m
2022-05-01 17:15:28.499[1651436128499] | INFO  | Thread-93  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DYDXUSDT&interval=1m
2022-05-01 17:15:28.500[1651436128500] | INFO  | Thread-95  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SANTOSUSDT&interval=1m
2022-05-01 17:15:28.500[1651436128500] | INFO  | Thread-94  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=OCEANUSDT&interval=1m
2022-05-01 17:15:28.500[1651436128500] | INFO  | Thread-96  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DUSKUSDT&interval=1m
2022-05-01 17:15:28.500[1651436128500] | INFO  | Thread-97  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=EPSUSDT&interval=1m
2022-05-01 17:15:28.500[1651436128500] | INFO  | Thread-98  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SUNUSDT&interval=1m
2022-05-01 17:15:28.501[1651436128501] | INFO  | Thread-99  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BNBDOWNUSDT&interval=1m
2022-05-01 17:15:28.501[1651436128501] | INFO  | Thread-100 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=STRAXUSDT&interval=1m
2022-05-01 17:15:28.501[1651436128501] | INFO  | Thread-101 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=OXTUSDT&interval=1m
2022-05-01 17:15:28.501[1651436128501] | INFO  | Thread-102 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=KEYUSDT&interval=1m
2022-05-01 17:15:28.501[1651436128501] | INFO  | Thread-103 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SCUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-104 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TUSDUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-105 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=IDEXUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-106 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GALAUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-107 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BETAUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-108 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BARUSDT&interval=1m
2022-05-01 17:15:28.502[1651436128502] | INFO  | Thread-109 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FIDAUSDT&interval=1m
2022-05-01 17:15:28.503[1651436128503] | INFO  | Thread-110 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MDTUSDT&interval=1m
2022-05-01 17:15:28.503[1651436128503] | INFO  | Thread-111 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GMTUSDT&interval=1m
2022-05-01 17:15:28.503[1651436128503] | INFO  | Thread-112 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SYSUSDT&interval=1m
2022-05-01 17:15:28.503[1651436128503] | INFO  | Thread-113 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CRVUSDT&interval=1m
2022-05-01 17:15:28.504[1651436128504] | INFO  | Thread-114 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=VOXELUSDT&interval=1m
2022-05-01 17:15:28.504[1651436128504] | INFO  | Thread-115 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CLVUSDT&interval=1m
2022-05-01 17:15:28.504[1651436128504] | INFO  | Thread-116 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GBPUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-117 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=WRXUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-118 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=WOOUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-119 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ETHUPUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-120 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTCSTUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-121 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=POWRUSDT&interval=1m
2022-05-01 17:15:28.505[1651436128505] | INFO  | Thread-122 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=AGLDUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-123 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RSRUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-124 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=COTIUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-125 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TRIBEUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-126 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MCUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-127 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FLMUSDT&interval=1m
2022-05-01 17:15:28.506[1651436128506] | INFO  | Thread-128 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FIOUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-129 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BTGUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-130 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=REPUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-131 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CTXCUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-132 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LINKUPUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-133 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FORUSDT&interval=1m
2022-05-01 17:15:28.507[1651436128507] | INFO  | Thread-134 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=OMUSDT&interval=1m
2022-05-01 17:15:28.508[1651436128508] | INFO  | Thread-135 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PERPUSDT&interval=1m
2022-05-01 17:15:28.508[1651436128508] | INFO  | Thread-136 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RVNUSDT&interval=1m
2022-05-01 17:15:28.508[1651436128508] | INFO  | Thread-137 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PORTOUSDT&interval=1m
2022-05-01 17:15:28.508[1651436128508] | INFO  | Thread-138 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=VTHOUSDT&interval=1m
2022-05-01 17:15:28.509[1651436128509] | INFO  | Thread-139 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ZRXUSDT&interval=1m
2022-05-01 17:15:28.510[1651436128510] | INFO  | Thread-140 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BNBUSDT&interval=1m
2022-05-01 17:15:28.511[1651436128511] | INFO  | Thread-141 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=JOEUSDT&interval=1m
2022-05-01 17:15:28.511[1651436128511] | INFO  | Thread-142 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XMRUSDT&interval=1m
2022-05-01 17:15:28.512[1651436128512] | INFO  | Thread-143 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BATUSDT&interval=1m
2022-05-01 17:15:28.512[1651436128512] | INFO  | Thread-144 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DOGEUSDT&interval=1m
2022-05-01 17:15:28.513[1651436128513] | INFO  | Thread-145 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TFUELUSDT&interval=1m
2022-05-01 17:15:28.513[1651436128513] | INFO  | Thread-146 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XLMUSDT&interval=1m
